order_id,date_sk,customer_sk,channel_sk,store_sk,status,total_amount,tax_amount
1000000070,10749,425,1,,PAID,15420.0,2520.0
1000000071,3792,1271,2,3.0,FULFILLED,14229.6,2469.6
1000000072,585,1129,1,,PAID,17018.25,2693.25
1000000073,6423,1224,1,,PAID,19576.35,3241.35
1000000074,6553,446,1,,FULFILLED,69071.4,11831.4
1000000075,8385,867,1,,FULFILLED,36474.0,6174.0
1000000076,1111,127,1,,FULFILLED,29659.2,4939.2
1000000077,6361,874,2,1.0,PAID,28459.2,4939.2
1000000078,7064,814,1,,FULFILLED,49186.5,8536.5
1000000079,11728,1189,1,,PAID,40404.0,6804.0
1000000080,5925,584,1,,FULFILLED,18687.0,3087.0
1000000081,7481,1433,1,,FULFILLED,64788.0,11088.0
1000000082,11824,670,1,,FULFILLED,42582.0,7182.0
1000000083,739,464,1,,REFUNDED,47301.0,8001.0
1000000084,6183,535,1,,PAID,19050.0,3150.0
1000000085,8003,655,1,,FULFILLED,16441.08,2593.08
1000000086,11173,833,1,,FULFILLED,14268.0,2268.0
1000000087,6528,490,1,,CANCELLED,14994.0,2394.0
1000000088,609,360,1,,FULFILLED,69144.0,11844.0
1000000089,10086,1227,1,,FULFILLED,18442.5,2992.5
1000000090,484,624,1,,FULFILLED,45458.25,7733.25
1000000091,873,228,1,,FULFILLED,110342.92,19150.42
1000000092,3037,770,1,,FULFILLED,37200.0,6300.0
1000000093,5999,54,2,2.0,FULFILLED,102456.75,17781.75
1000000094,6815,1006,2,4.0,PAID,90387.0,15687.0
1000000095,11899,247,1,,FULFILLED,59897.1,10187.1
1000000096,9599,1127,2,3.0,FULFILLED,42688.8,7408.8
1000000097,3022,757,2,2.0,FULFILLED,18676.35,3241.35
1000000098,7175,520,1,,FULFILLED,44351.1,7541.1
1000000099,1051,258,1,,FULFILLED,14520.0,2520.0
1000000100,3937,467,1,,CANCELLED,28909.08,4861.08
1000000101,1625,3,1,,PAID,44460.0,7560.0
1000000102,6072,334,1,,FULFILLED,43888.8,7408.8
1000000103,1534,802,2,3.0,CREATED,37243.8,6463.8
1000000104,1510,999,1,,REFUNDED,37500.0,6300.0
1000000105,2416,176,1,,FULFILLED,27336.0,4536.0
1000000106,7603,801,1,,FULFILLED,19050.0,3150.0
1000000107,2606,1113,1,,FULFILLED,42064.2,7144.2
1000000108,10364,810,2,4.0,FULFILLED,56029.05,9724.05
1000000109,2061,581,2,4.0,FULFILLED,39930.0,6930.0
1000000110,9827,1284,2,2.0,CANCELLED,82364.7,14294.7
1000000111,6696,1333,1,,FULFILLED,19876.35,3241.35
1000000112,7999,24,2,2.0,PAID,92891.7,16121.7
1000000113,370,1222,2,1.0,CANCELLED,15652.56,2716.56
1000000114,4883,63,2,1.0,PAID,11761.2,2041.2
1000000115,897,1078,1,,REFUNDED,27636.0,4536.0
1000000116,3362,1091,1,,FULFILLED,49116.0,8316.0
1000000117,7242,524,1,,FULFILLED,30240.0,5040.0
1000000118,11140,1229,1,,FULFILLED,47857.68,8149.68
1000000119,10568,458,2,4.0,FULFILLED,17787.0,3087.0
1000000120,1994,68,1,,FULFILLED,14229.6,2469.6
1000000121,6684,959,2,4.0,FULFILLED,45520.2,7900.2
1000000122,11413,356,2,1.0,FULFILLED,43560.0,7560.0
1000000123,10190,530,1,,CANCELLED,18987.0,3087.0
1000000124,663,1420,1,,FULFILLED,67367.64,11483.64
1000000125,3528,279,2,3.0,FULFILLED,62073.0,10773.0
1000000126,3007,779,2,3.0,FULFILLED,18150.0,3150.0
1000000127,1074,1383,1,,FULFILLED,69988.5,11938.5
1000000128,8946,1189,1,,CANCELLED,101470.2,17350.2
1000000129,11756,1016,1,,FULFILLED,76858.8,13078.8
1000000130,9549,595,2,3.0,PAID,14701.5,2551.5
1000000131,420,902,2,4.0,FULFILLED,47916.0,8316.0
1000000132,3866,317,1,,FULFILLED,33216.6,5556.6
1000000133,3052,1229,2,2.0,FULFILLED,18150.0,3150.0
1000000134,98,279,2,3.0,FULFILLED,75358.8,13078.8
1000000135,2751,1498,2,4.0,PAID,39930.0,6930.0
1000000136,7253,140,1,,FULFILLED,34485.0,5985.0
1000000137,6019,1115,1,,PAID,14229.6,2469.6
1000000138,50,1240,1,,PAID,42882.0,7182.0
1000000139,1774,590,1,,FULFILLED,17535.0,2835.0
1000000140,7783,645,2,3.0,FULFILLED,16008.3,2778.3
1000000141,6270,545,2,1.0,REFUNDED,14374.8,2494.8
1000000142,10212,1208,1,,REFUNDED,62854.26,10648.26
1000000143,2885,551,2,1.0,FULFILLED,80586.0,13986.0
1000000144,719,569,2,1.0,CANCELLED,35937.0,6237.0
1000000145,10647,1305,1,,FULFILLED,37800.0,6300.0
1000000146,2288,280,1,,FULFILLED,100951.88,17364.38
1000000147,6424,1338,1,,FULFILLED,72701.4,12461.4
1000000148,10138,84,1,,FULFILLED,43888.8,7408.8
1000000149,7275,655,1,,FULFILLED,17235.0,2835.0
1000000150,9737,513,2,4.0,FULFILLED,39131.4,6791.4
1000000151,1955,884,2,3.0,FULFILLED,42688.8,7408.8
1000000152,128,385,2,2.0,FULFILLED,11761.2,2041.2
1000000153,9941,723,2,2.0,CANCELLED,13068.0,2268.0
1000000154,3369,110,2,1.0,PAID,51455.25,8930.25
1000000155,766,1197,1,,FULFILLED,15420.0,2520.0
1000000156,5690,833,2,2.0,FULFILLED,51727.5,8977.5
1000000157,7363,371,2,3.0,CANCELLED,71692.5,12442.5
1000000158,2107,905,2,1.0,FULFILLED,36300.0,6300.0
1000000159,3622,389,1,,FULFILLED,16141.08,2593.08
1000000160,3032,1299,2,4.0,FULFILLED,35574.0,6174.0
1000000161,5538,725,1,,FULFILLED,55350.0,9450.0
1000000162,10861,645,2,4.0,PAID,27588.0,4788.0
1000000163,1001,584,1,,FULFILLED,27036.0,4536.0
1000000164,7859,436,1,,FULFILLED,77130.0,13230.0
1000000165,11359,293,1,,FULFILLED,29959.2,4939.2
1000000166,10778,1065,1,,FULFILLED,53744.25,9119.25
1000000167,7215,1234,1,,CANCELLED,58172.85,9887.85
1000000168,1040,400,1,,CANCELLED,50205.0,8505.0
1000000169,3515,251,1,,FULFILLED,14268.0,2268.0
1000000170,1610,764,2,4.0,PAID,36300.0,6300.0
1000000171,7971,1490,1,,CREATED,15429.6,2469.6
1000000172,2335,181,1,,FULFILLED,28488.0,4788.0
1000000173,10050,693,1,,FULFILLED,39315.0,6615.0
1000000174,4671,672,2,2.0,FULFILLED,14229.6,2469.6
1000000175,2773,786,1,,PAID,15420.0,2520.0
1000000176,7928,1347,2,2.0,FULFILLED,17968.5,3118.5
1000000177,6157,628,1,,FULFILLED,16718.25,2693.25
1000000178,9192,1485,2,2.0,PAID,16335.0,2835.0
1000000179,11062,805,1,,FULFILLED,88746.0,15246.0
1000000180,2588,445,1,,FULFILLED,31692.0,5292.0
1000000181,5957,560,1,,FULFILLED,29359.2,4939.2
1000000182,4696,403,1,,FULFILLED,31546.8,5266.8
1000000183,5645,693,2,1.0,PAID,32670.0,5670.0
1000000184,9342,274,2,2.0,PAID,16335.0,2835.0
1000000185,3708,804,1,,FULFILLED,73611.24,12567.24
1000000186,3944,1495,1,,FULFILLED,14694.0,2394.0
1000000187,7687,48,2,1.0,REFUNDED,39204.0,6804.0
1000000188,11289,661,2,3.0,FULFILLED,32670.0,5670.0
1000000189,2245,984,1,,PAID,45723.24,7779.24
1000000190,2878,1384,1,,PAID,14229.6,2469.6
1000000191,11738,788,1,,CANCELLED,106896.24,18552.24
1000000192,1230,456,2,2.0,PAID,14520.0,2520.0
1000000193,815,427,1,,FULFILLED,40404.0,6804.0
1000000194,11677,866,1,,FULFILLED,54450.0,9450.0
1000000195,7985,371,1,,FULFILLED,56666.4,9626.4
1000000196,11101,1000,1,,FULFILLED,37500.0,6300.0
1000000197,1809,1404,1,,FULFILLED,14268.0,2268.0
1000000198,607,1159,1,,FULFILLED,36183.6,6123.6
1000000199,8338,1040,1,,FULFILLED,59280.0,10080.0
1000000200,5039,464,1,,FULFILLED,27036.0,4536.0
1000000201,6031,166,1,,REFUNDED,50749.5,8599.5
1000000202,8467,1056,2,3.0,FULFILLED,43560.0,7560.0
1000000203,6048,925,2,3.0,FULFILLED,39204.0,6804.0
1000000204,7382,488,1,,CANCELLED,50205.0,8505.0
1000000205,5142,903,1,,FULFILLED,17787.0,3087.0
1000000206,10756,70,1,,PAID,29659.2,4939.2
1000000207,9265,1459,1,,FULFILLED,15841.08,2593.08
1000000208,8776,500,2,2.0,FULFILLED,53905.5,9355.5
1000000209,8607,361,1,,FULFILLED,31692.0,5292.0
1000000210,8351,476,1,,FULFILLED,17835.0,2835.0
1000000211,10654,1400,2,1.0,REFUNDED,80803.8,14023.8
1000000212,7790,945,1,,FULFILLED,15129.6,2469.6
1000000213,1940,1443,1,,FULFILLED,20557.5,3307.5
1000000214,3732,1430,1,,FULFILLED,28342.8,4762.8
1000000215,521,1330,1,,FULFILLED,62628.15,10713.15
1000000216,9323,274,1,,FULFILLED,19866.75,3291.75
1000000217,1743,1251,2,2.0,FULFILLED,72554.62,12592.12
1000000218,3427,176,1,,FULFILLED,39750.6,6690.6
1000000219,3023,42,2,2.0,PAID,54450.0,9450.0
1000000220,11817,582,1,,FULFILLED,14694.0,2394.0
1000000221,9264,4,2,1.0,FULFILLED,28459.2,4939.2
1000000222,4523,569,2,2.0,FULFILLED,26136.0,4536.0
1000000223,6760,157,2,1.0,PAID,27442.8,4762.8
1000000224,8380,649,1,,FULFILLED,50205.0,8505.0
1000000225,10941,1230,1,,FULFILLED,41164.2,7144.2
1000000226,3671,197,1,,FULFILLED,36483.6,6123.6
1000000227,3690,731,1,,FULFILLED,43888.8,7408.8
1000000228,8455,506,1,,FULFILLED,43588.8,7408.8
1000000229,8740,751,2,2.0,CANCELLED,16335.0,2835.0
1000000230,6859,485,1,,FULFILLED,40104.0,6804.0
1000000231,2935,823,1,,PAID,58072.5,9922.5
1000000232,7852,680,1,,PAID,45892.56,7756.56
1000000233,6073,417,1,,FULFILLED,19050.0,3150.0
1000000234,9699,677,1,,FULFILLED,29659.2,4939.2
1000000235,5169,1327,2,2.0,CANCELLED,26136.0,4536.0
1000000236,6958,593,2,1.0,FULFILLED,29040.0,5040.0
1000000237,5993,606,2,1.0,FULFILLED,43560.0,7560.0
1000000238,8376,137,2,2.0,PAID,25613.28,4445.28
1000000239,925,487,1,,FULFILLED,63408.6,10848.6
1000000240,5532,909,1,,REFUNDED,48090.0,8190.0
1000000241,5360,179,2,1.0,FULFILLED,71874.0,12474.0
1000000242,11123,183,1,,CANCELLED,46023.24,7779.24
1000000243,9887,536,1,,FULFILLED,19965.0,3465.0
1000000244,4786,1341,2,1.0,FULFILLED,24829.2,4309.2
1000000245,9283,378,2,1.0,REFUNDED,48823.5,8473.5
1000000246,11926,548,1,,CANCELLED,74596.5,12946.5
1000000247,6301,757,1,,FULFILLED,19576.35,3241.35
1000000248,5640,522,2,4.0,FULFILLED,13068.0,2268.0
1000000249,2001,1384,2,3.0,FULFILLED,47916.0,8316.0
1000000250,4960,473,1,,FULFILLED,52955.25,8930.25
1000000251,1350,1316,2,3.0,FULFILLED,41382.0,7182.0
1000000252,1131,1356,2,1.0,FULFILLED,53361.0,9261.0
1000000253,9011,266,1,,REFUNDED,56018.16,9722.16
1000000254,5388,1359,2,2.0,FULFILLED,25613.28,4445.28
1000000255,4193,843,1,,FULFILLED,18687.0,3087.0
1000000256,5151,599,1,,FULFILLED,29659.2,4939.2
1000000257,9729,1048,2,1.0,FULFILLED,70059.0,12159.0
1000000258,6813,319,1,,FULFILLED,35385.0,5985.0
1000000259,11500,846,1,,REFUNDED,32805.12,5433.12
1000000260,6502,1491,1,,FULFILLED,41130.0,6930.0
1000000261,11100,79,1,,FULFILLED,29040.0,5040.0
1000000262,6066,748,1,,FULFILLED,43588.8,7408.8
1000000263,6900,537,1,,PAID,49905.0,8505.0
1000000264,11202,303,2,2.0,PAID,69750.45,12105.45
1000000265,2155,1065,1,,FULFILLED,64468.56,11032.56
1000000266,9267,606,1,,FULFILLED,48325.95,8230.95
1000000267,1085,553,1,,FULFILLED,33870.0,5670.0
1000000268,8245,656,1,,CANCELLED,13794.0,2394.0
1000000269,5406,786,1,,CANCELLED,83617.05,14512.05
1000000270,846,663,2,1.0,FULFILLED,14229.6,2469.6
1000000271,782,833,1,,REFUNDED,87448.8,14968.8
1000000272,5631,844,1,,FULFILLED,33144.0,5544.0
1000000273,1118,720,1,,FULFILLED,43588.8,7408.8
1000000274,5097,169,2,1.0,FULFILLED,77064.9,13374.9
1000000275,3187,969,1,,FULFILLED,27336.0,4536.0
1000000276,9664,268,2,4.0,PAID,29040.0,5040.0
1000000277,5411,122,2,1.0,FULFILLED,50820.0,8820.0
1000000278,8079,617,1,,FULFILLED,27636.0,4536.0
1000000279,11118,608,1,,CANCELLED,54261.0,9261.0
1000000280,3749,732,2,1.0,FULFILLED,33033.0,5733.0
1000000281,8183,211,1,,FULFILLED,54101.28,9233.28
1000000282,6832,475,1,,FULFILLED,24422.4,4082.4
1000000283,10670,949,1,,FULFILLED,16718.25,2693.25
1000000284,1246,426,2,2.0,FULFILLED,70785.0,12285.0
1000000285,5714,386,1,,CANCELLED,19350.0,3150.0
1000000286,3575,500,1,,FULFILLED,37074.0,6174.0
1000000287,10066,677,2,1.0,PAID,51727.5,8977.5
1000000288,7473,33,2,1.0,PAID,14229.6,2469.6
1000000289,7955,194,1,,CANCELLED,90389.1,15479.1
1000000290,5794,78,1,,FULFILLED,105354.3,18024.3
1000000291,5471,102,1,,PAID,56900.25,9875.25
1000000292,9126,1072,2,4.0,PAID,32270.7,5600.7
1000000293,11249,754,1,,PAID,27036.0,4536.0
1000000294,2067,195,1,,CANCELLED,44460.0,7560.0
1000000295,8450,862,2,4.0,REFUNDED,24829.2,4309.2
1000000296,3309,240,2,2.0,PAID,18150.0,3150.0
1000000297,11041,682,2,1.0,REFUNDED,53361.0,9261.0
1000000298,5789,849,2,1.0,FULFILLED,41382.0,7182.0
1000000299,2324,807,2,3.0,FULFILLED,43560.0,7560.0
1000000300,6077,901,1,,FULFILLED,54633.6,9273.6
1000000301,2309,61,1,,PAID,29040.0,5040.0
1000000302,10983,1082,1,,CANCELLED,69507.0,11907.0
1000000303,1378,1286,2,3.0,PAID,39204.0,6804.0
1000000304,1358,1416,1,,FULFILLED,119873.77,20596.27
1000000305,8813,979,1,,FULFILLED,31692.0,5292.0
1000000306,2178,800,1,,FULFILLED,83671.5,14521.5
1000000307,4777,800,1,,FULFILLED,17835.0,2835.0
1000000308,1583,757,1,,PAID,17835.0,2835.0
1000000309,1812,1194,2,1.0,CANCELLED,45738.0,7938.0
1000000310,6957,673,1,,FULFILLED,27636.0,4536.0
1000000311,7018,1266,2,2.0,PAID,36209.25,6284.25
1000000312,7893,7,2,2.0,FULFILLED,36209.25,6284.25
1000000313,9523,1040,2,3.0,FULFILLED,71692.5,12442.5
1000000314,5435,873,1,,FULFILLED,33579.6,5619.6
1000000315,9224,1336,1,,FULFILLED,54351.75,9276.75
1000000316,9091,708,2,1.0,FULFILLED,71601.75,12426.75
1000000317,4252,380,1,,FULFILLED,37437.0,6237.0
1000000318,5242,634,2,4.0,PAID,15246.0,2646.0
1000000319,2019,578,1,,FULFILLED,15429.6,2469.6
1000000320,11164,1479,1,,FULFILLED,36592.5,6142.5
1000000321,10883,1399,1,,FULFILLED,94491.0,16191.0
1000000322,6095,522,2,4.0,FULFILLED,37243.8,6463.8
1000000323,8584,247,2,1.0,FULFILLED,54711.36,9495.36
1000000324,7094,96,2,4.0,FULFILLED,69812.16,12116.16
1000000325,5418,798,2,2.0,FULFILLED,28749.6,4989.6
1000000326,3078,21,1,,FULFILLED,84070.8,14590.8
1000000327,7051,1236,1,,FULFILLED,31082.16,5186.16
1000000328,7649,130,1,,FULFILLED,82239.75,14064.75
1000000329,1354,169,1,,FULFILLED,44324.4,7484.4
1000000330,6556,973,2,2.0,FULFILLED,29040.0,5040.0
1000000331,6767,1449,1,,FULFILLED,68581.35,11746.35
1000000332,11755,210,1,,PAID,62547.0,10647.0
1000000333,6600,737,1,,CANCELLED,16552.56,2716.56
1000000334,9258,1350,1,,PAID,71341.2,12121.2
1000000335,741,170,1,,FULFILLED,73691.1,12581.1
1000000336,3716,217,1,,FULFILLED,47964.0,8064.0
1000000337,4759,254,1,,FULFILLED,17835.0,2835.0
1000000338,1473,1400,1,,REFUNDED,47146.2,8026.2
1000000339,9286,1213,1,,CANCELLED,54561.0,9261.0
1000000340,4071,1410,1,,FULFILLED,14268.0,2268.0
1000000341,6710,128,2,2.0,FULFILLED,30492.0,5292.0
1000000342,5252,499,1,,FULFILLED,18142.5,2992.5
1000000343,4159,494,1,,FULFILLED,27989.4,4649.4
1000000344,3800,755,1,,PAID,41430.0,6930.0
1000000345,2232,518,1,,FULFILLED,41164.2,7144.2
1000000346,8200,1171,2,4.0,PAID,41382.0,7182.0
1000000347,4286,1261,1,,FULFILLED,54261.0,9261.0
1000000348,6004,468,2,4.0,FULFILLED,12414.6,2154.6
1000000349,4498,503,1,,FULFILLED,44760.0,7560.0
1000000350,1400,1073,2,3.0,FULFILLED,42688.8,7408.8
1000000351,2271,997,2,1.0,FULFILLED,32670.0,5670.0
1000000352,7754,435,1,,FULFILLED,35203.5,5953.5
1000000353,9291,1401,2,4.0,FULFILLED,41382.0,7182.0
1000000354,9306,202,1,,FULFILLED,17172.0,2772.0
1000000355,6460,920,1,,FULFILLED,50205.0,8505.0
1000000356,9830,1101,1,,FULFILLED,53361.0,9261.0
1000000357,1100,305,1,,FULFILLED,14229.6,2469.6
1000000358,10441,268,1,,FULFILLED,34485.0,5985.0
1000000359,3531,636,2,3.0,FULFILLED,35574.0,6174.0
1000000360,5004,736,2,4.0,FULFILLED,62871.6,10911.6
1000000361,7234,938,1,,FULFILLED,72783.6,12423.6
1000000362,4215,356,1,,PAID,43560.0,7560.0
1000000363,2924,544,1,,FULFILLED,13794.0,2394.0
1000000364,11184,952,2,2.0,PAID,29882.16,5186.16
1000000365,11220,1016,1,,REFUNDED,81486.0,13986.0
1000000366,10562,1183,1,,FULFILLED,57529.05,9724.05
1000000367,8932,1154,1,,FULFILLED,33570.0,5670.0
1000000368,5764,1056,1,,CANCELLED,27336.0,4536.0
1000000369,6490,666,2,1.0,FULFILLED,39204.0,6804.0
1000000370,11177,1010,2,2.0,FULFILLED,36209.25,6284.25
1000000371,273,977,1,,FULFILLED,37500.0,6300.0
1000000372,4339,172,1,,PAID,15383.7,2513.7
1000000373,885,1179,1,,PAID,16146.0,2646.0
1000000374,8838,1048,2,2.0,FULFILLED,53361.0,9261.0
1000000375,10193,480,1,,FULFILLED,18051.75,2976.75
1000000376,6571,164,2,2.0,FULFILLED,51727.5,8977.5
1000000377,3997,902,2,1.0,FULFILLED,36300.0,6300.0
1000000378,11516,1096,1,,FULFILLED,49224.9,8334.9
1000000379,10027,1208,1,,FULFILLED,13968.0,2268.0
1000000380,3041,538,2,2.0,FULFILLED,68534.4,11894.4
1000000381,9495,695,1,,FULFILLED,80779.2,13759.2
1000000382,3186,766,1,,FULFILLED,37800.0,6300.0
1000000383,6096,295,2,2.0,FULFILLED,51455.25,8930.25
1000000384,9896,864,1,,PAID,42688.8,7408.8
1000000385,2400,314,2,2.0,FULFILLED,91294.5,15844.5
1000000386,5575,299,2,1.0,FULFILLED,17242.5,2992.5
1000000387,8462,786,1,,FULFILLED,44760.0,7560.0
1000000388,2828,356,1,,FULFILLED,53835.0,9135.0
1000000389,2268,792,1,,PAID,12414.6,2154.6
1000000390,1368,88,1,,FULFILLED,19957.5,3307.5
1000000391,684,1426,1,,REFUNDED,17235.0,2835.0
1000000392,4240,1,2,2.0,FULFILLED,35574.0,6174.0
1000000393,1435,803,2,3.0,FULFILLED,14229.6,2469.6
1000000394,10847,589,1,,PAID,47454.75,8079.75
1000000395,2788,1238,2,3.0,FULFILLED,44823.24,7779.24
1000000396,4212,293,1,,FULFILLED,58045.8,9865.8
1000000397,10384,882,1,,FULFILLED,15420.0,2520.0
1000000398,1605,913,1,,REFUNDED,80188.8,13708.8
1000000399,5192,960,2,2.0,FULFILLED,57354.0,9954.0
1000000400,8214,1084,2,1.0,FULFILLED,15246.0,2646.0
1000000401,10194,1411,2,2.0,FULFILLED,49005.0,8505.0
1000000402,6662,889,1,,FULFILLED,44324.4,7484.4
1000000403,6554,814,1,,FULFILLED,55650.0,9450.0
1000000404,8195,293,1,,FULFILLED,46076.4,7736.4
1000000405,4297,1121,1,,FULFILLED,80198.4,13658.4
1000000406,4413,696,2,1.0,FULFILLED,51727.5,8977.5
1000000407,10229,331,1,,CANCELLED,31036.5,5386.5
1000000408,5963,106,1,,PAID,38252.7,6482.7
1000000409,11486,918,2,2.0,CANCELLED,39204.0,6804.0
1000000410,10659,305,1,,FULFILLED,42688.8,7408.8
1000000411,5869,381,1,,PAID,47754.75,8079.75
1000000412,6079,176,2,3.0,FULFILLED,28459.2,4939.2
1000000413,2709,1269,2,2.0,CANCELLED,29040.0,5040.0
1000000414,9365,128,1,,FULFILLED,48634.5,8284.5
1000000415,9139,424,2,2.0,FULFILLED,17787.0,3087.0
1000000416,9812,7,2,4.0,CANCELLED,39131.4,6791.4
1000000417,1637,105,2,3.0,FULFILLED,31944.0,5544.0
1000000418,3294,1415,1,,REFUNDED,47364.0,8064.0
1000000419,1485,283,1,,FULFILLED,79436.1,13526.1
1000000420,6459,1430,2,2.0,FULFILLED,13794.0,2394.0
1000000421,4542,673,1,,FULFILLED,40404.0,6804.0
1000000422,7873,1419,1,,FULFILLED,68055.0,11655.0
1000000423,9900,39,2,1.0,FULFILLED,28459.2,4939.2
1000000424,3522,189,1,,FULFILLED,15429.6,2469.6
1000000425,11911,526,2,2.0,FULFILLED,12806.64,2222.64
1000000426,3545,790,1,,PAID,43560.0,7560.0
1000000427,3472,464,1,,FULFILLED,43160.7,7490.7
1000000428,910,262,1,,CANCELLED,36474.0,6174.0
1000000429,8793,1051,2,1.0,FULFILLED,71220.6,12360.6
1000000430,7401,582,1,,FULFILLED,46638.0,7938.0
1000000431,11532,3,1,,FULFILLED,42664.2,7144.2
1000000432,360,678,1,,FULFILLED,47020.2,7900.2
1000000433,7057,369,1,,FULFILLED,14268.0,2268.0
1000000434,1884,71,1,,REFUNDED,30540.0,5040.0
1000000435,2551,1251,1,,FULFILLED,72193.2,12373.2
1000000436,4260,143,2,4.0,FULFILLED,43560.0,7560.0
1000000437,5738,126,1,,PAID,51727.5,8977.5
1000000438,9188,945,2,4.0,FULFILLED,58697.1,10187.1
1000000439,68,592,1,,FULFILLED,27588.0,4788.0
1000000440,5674,462,2,2.0,FULFILLED,73616.4,12776.4
1000000441,1411,274,1,,FULFILLED,46323.24,7779.24
1000000442,2648,703,2,3.0,FULFILLED,53361.0,9261.0
1000000443,8995,723,2,1.0,CANCELLED,120969.75,20994.75
1000000444,7180,310,1,,FULFILLED,44324.4,7484.4
1000000445,3805,410,2,2.0,FULFILLED,29040.0,5040.0
1000000446,4198,495,1,,FULFILLED,43888.8,7408.8
1000000447,5865,457,1,,FULFILLED,43588.8,7408.8
1000000448,7091,852,2,1.0,PAID,13794.0,2394.0
1000000449,1687,793,1,,PAID,69516.6,11856.6
1000000450,4667,789,1,,FULFILLED,20257.5,3307.5
