response_id,channel_sk,customer_id,score,response_date
13000000065,2,1189,8,2025-04-30 19:36:36
13000000066,1,554,7,2024-06-30 01:24:03
13000000067,1,1411,9,2025-01-25 05:47:13
13000000068,1,990,2,2024-02-18 03:58:07
13000000069,2,581,8,2024-04-30 08:18:05
13000000070,2,1214,2,2025-06-03 03:16:28
13000000071,1,1182,8,2025-06-04 13:38:56
13000000072,2,56,9,2024-10-15 02:07:22
13000000073,1,1443,9,2024-08-09 20:40:50
13000000074,1,822,9,2024-09-24 19:46:26
13000000075,1,18,7,2025-07-27 10:40:20
13000000076,1,436,8,2024-12-12 16:09:46
13000000077,2,558,9,2024-08-15 02:57:02
13000000078,2,1202,9,2025-04-26 08:56:16
13000000079,2,1412,0,2024-10-06 13:55:55
13000000080,2,1336,6,2025-03-02 11:16:01
13000000081,1,1336,7,2025-09-16 15:58:29
13000000082,2,1224,10,2024-12-09 15:30:01
13000000083,1,859,9,2024-07-28 23:10:32
13000000084,1,818,10,2024-01-28 01:51:31
13000000085,2,816,6,2024-10-26 15:24:03
13000000086,1,653,9,2024-10-16 16:02:50
13000000087,1,1056,8,2024-12-14 22:25:30
13000000088,1,1037,7,2024-02-05 01:27:21
13000000089,2,959,8,2024-12-28 05:03:44
13000000090,1,1406,6,2024-12-28 08:55:01
13000000091,1,1296,9,2025-07-02 05:34:01
13000000092,1,629,5,2025-08-15 08:13:29
13000000093,2,439,4,2024-03-06 17:38:20
13000000094,1,1423,8,2025-09-01 07:05:10
13000000095,2,1336,8,2024-05-29 18:52:17
13000000096,2,1453,6,2025-08-24 07:59:57
13000000097,1,722,8,2024-08-07 05:28:56
13000000098,1,616,10,2024-08-08 11:26:29
13000000099,1,1104,10,2024-08-15 19:44:46
13000000100,1,1004,4,2024-10-17 21:13:26
13000000101,2,304,9,2024-04-08 15:38:45
13000000102,2,114,10,2024-01-14 03:49:59
13000000103,2,248,9,2024-10-08 07:56:45
13000000104,1,208,5,2024-05-18 10:16:29
13000000105,1,445,10,2024-01-20 05:58:36
13000000106,2,1304,10,2024-02-14 08:22:10
13000000107,1,1493,7,2024-08-29 09:09:29
13000000108,1,1123,8,2024-08-22 13:36:21
13000000109,2,174,5,2025-07-24 22:30:44
13000000110,1,825,8,2025-08-14 09:41:17
13000000111,2,1120,4,2025-06-15 02:46:10
13000000112,1,1101,3,2024-01-12 20:11:48
13000000113,2,659,7,2024-02-10 11:28:56
13000000114,1,1379,7,2024-01-23 11:07:47
13000000115,2,550,9,2025-09-20 01:42:57
13000000116,1,1177,7,2024-03-14 07:03:19
13000000117,1,1149,9,2025-06-07 21:12:25
13000000118,1,236,9,2025-06-02 05:22:07
13000000119,1,226,9,2025-02-03 08:27:37
13000000120,2,850,6,2025-02-10 18:37:18
13000000121,1,599,8,2024-10-19 20:28:14
13000000122,2,1230,9,2025-08-17 14:30:34
13000000123,1,1177,7,2025-03-10 16:20:54
13000000124,1,728,9,2025-01-19 15:18:51
13000000125,2,268,7,2025-01-25 18:25:48
13000000126,2,980,8,2024-10-23 13:31:00
13000000127,2,902,5,2024-02-02 03:24:41
13000000128,2,800,4,2024-04-06 20:41:00
13000000129,1,1447,10,2025-04-21 06:04:43
13000000130,1,130,7,2025-02-22 21:56:23
13000000131,2,1176,9,2025-06-01 13:10:21
13000000132,2,771,8,2025-07-31 23:17:20
13000000133,1,158,0,2024-12-05 19:34:31
13000000134,1,811,1,2025-06-12 19:46:53
13000000135,1,1369,8,2024-10-04 04:24:07
13000000136,2,131,8,2025-01-07 18:36:27
13000000137,2,69,9,2024-07-14 11:53:39
13000000138,1,395,9,2024-07-27 08:37:44
13000000139,2,1106,6,2025-03-06 00:15:24
13000000140,1,4,0,2024-08-16 07:39:35
13000000141,1,292,7,2025-07-16 23:23:34
13000000142,1,1467,5,2025-01-24 09:56:23
13000000143,1,317,1,2024-09-08 07:10:51
13000000144,2,1374,10,2025-07-05 03:12:50
13000000145,1,607,6,2024-02-23 15:36:46
13000000146,1,661,8,2025-05-20 10:57:59
13000000147,1,315,7,2024-05-30 09:01:29
13000000148,2,522,0,2024-10-02 23:54:48
13000000149,1,697,2,2024-10-16 22:50:22
13000000150,1,1351,5,2025-05-26 09:53:04
13000000151,2,1209,9,2025-03-11 06:28:35
13000000152,1,93,8,2024-09-27 01:34:02
13000000153,2,8,8,2025-07-07 20:57:30
13000000154,1,1487,8,2025-02-08 14:01:29
13000000155,1,501,9,2025-06-04 22:40:43
13000000156,1,949,8,2025-07-05 11:58:50
13000000157,1,745,10,2025-01-14 13:16:12
13000000158,2,58,8,2025-09-16 11:08:21
13000000159,1,1226,9,2025-05-07 07:34:03
13000000160,2,952,8,2024-03-31 02:48:46
13000000161,1,1424,7,2025-07-18 01:30:02
13000000162,1,146,8,2025-09-21 13:35:48
13000000163,1,831,3,2025-03-01 17:55:25
13000000164,1,991,0,2025-08-04 23:43:06
13000000165,1,485,8,2025-01-11 11:56:27
13000000166,2,789,4,2024-08-12 19:05:31
13000000167,1,1456,1,2024-03-26 22:12:53
13000000168,2,1341,8,2025-06-19 14:12:30
13000000169,1,993,7,2024-12-15 04:07:03
13000000170,2,710,8,2024-10-09 09:38:46
13000000171,1,609,6,2024-09-22 04:24:43
13000000172,1,763,4,2025-07-08 03:35:39
13000000173,1,1356,1,2025-06-12 15:59:14
13000000174,2,1275,7,2024-06-02 21:10:41
13000000175,2,490,9,2025-09-17 14:12:21
13000000176,1,523,9,2024-08-21 18:04:29
13000000177,2,1234,9,2024-07-07 10:21:13
13000000178,1,1163,8,2024-08-06 23:49:16
13000000179,2,406,8,2025-10-05 14:51:06
13000000180,1,835,2,2025-07-10 06:40:59
13000000181,1,320,8,2025-05-07 01:37:10
13000000182,1,414,7,2025-01-06 04:49:31
13000000183,1,1463,9,2024-03-27 09:33:42
13000000184,2,928,10,2024-07-26 05:16:35
13000000185,1,643,9,2025-02-21 03:41:53
13000000186,2,999,2,2025-02-12 07:15:19
13000000187,1,207,7,2025-06-29 11:26:26
13000000188,1,641,0,2025-02-22 20:24:49
13000000189,1,1110,1,2025-10-06 13:17:35
13000000190,1,1062,8,2025-05-24 09:29:00
13000000191,1,698,1,2024-08-10 06:34:02
13000000192,1,1236,10,2025-06-29 07:04:50
13000000193,1,755,8,2024-05-10 05:40:54
13000000194,1,329,7,2024-07-31 07:13:57
13000000195,1,800,7,2024-09-25 19:02:18
13000000196,1,678,10,2024-01-30 12:03:01
13000000197,1,1383,10,2024-05-14 08:07:01
13000000198,1,1251,10,2024-04-05 03:29:58
13000000199,1,1252,7,2024-02-25 07:28:39
13000000200,1,283,5,2025-09-19 08:42:55
13000000201,2,907,2,2024-07-14 17:53:58
13000000202,1,893,1,2024-12-25 14:16:39
13000000203,2,413,8,2025-04-28 12:51:40
13000000204,2,788,10,2024-10-27 04:13:53
13000000205,2,350,8,2025-08-31 17:23:35
13000000206,2,758,5,2024-01-18 11:57:25
13000000207,2,699,10,2025-07-26 13:52:22
13000000208,1,689,9,2024-02-06 02:22:22
13000000209,1,348,1,2024-04-24 04:18:58
13000000210,1,974,9,2025-05-02 23:51:14
13000000211,1,444,7,2025-07-28 08:36:03
13000000212,1,96,9,2025-09-06 12:06:06
13000000213,1,674,7,2025-01-19 04:34:47
13000000214,1,867,8,2024-11-10 21:54:58
13000000215,1,686,7,2025-07-26 03:48:53
13000000216,1,640,10,2024-06-09 04:48:07
13000000217,1,1191,9,2024-08-10 04:18:48
13000000218,2,321,5,2025-05-24 10:49:55
13000000219,1,1045,3,2024-09-28 02:51:20
13000000220,2,644,10,2024-01-13 16:30:11
13000000221,2,514,8,2025-07-22 03:52:32
13000000222,1,649,6,2025-02-04 00:04:20
13000000223,2,1294,5,2025-08-22 00:27:47
13000000224,2,814,4,2025-08-07 21:35:53
13000000225,1,801,7,2024-12-06 19:00:31
13000000226,1,351,5,2024-12-08 05:31:27
13000000227,2,838,8,2024-10-06 12:33:46
13000000228,1,78,6,2025-05-14 18:38:37
13000000229,1,1338,2,2024-12-20 21:23:08
13000000230,2,182,7,2024-06-01 06:59:29
13000000231,1,560,4,2024-11-22 19:15:20
13000000232,1,1390,6,2024-04-07 16:45:28
13000000233,2,130,4,2024-12-29 14:09:56
13000000234,2,1143,2,2025-05-14 11:19:02
13000000235,2,223,7,2025-04-18 06:39:34
13000000236,1,622,2,2024-02-16 09:22:11
13000000237,1,1328,9,2024-06-09 07:31:20
13000000238,1,1192,7,2024-02-27 03:41:54
13000000239,1,119,2,2024-06-21 11:15:26
13000000240,1,1115,8,2025-08-13 08:06:16
13000000241,1,49,8,2024-04-21 20:33:27
13000000242,2,1133,5,2025-09-03 15:53:22
13000000243,1,193,9,2025-07-16 13:29:06
13000000244,1,539,6,2024-01-28 15:36:48
13000000245,1,200,7,2025-03-26 17:15:42
13000000246,1,1084,10,2024-01-25 18:58:03
13000000247,2,422,10,2024-05-06 19:36:29
13000000248,2,348,6,2024-09-05 20:52:06
13000000249,1,951,9,2025-09-18 04:22:11
13000000250,2,251,7,2024-11-26 08:33:35
13000000251,1,26,8,2025-01-22 14:00:56
13000000252,2,1063,6,2025-03-14 10:37:47
13000000253,1,271,8,2024-02-02 07:25:07
13000000254,1,567,9,2025-01-20 17:53:26
13000000255,1,254,9,2025-07-23 13:34:36
13000000256,2,66,6,2024-04-05 13:11:38
13000000257,1,518,0,2025-01-05 17:33:23
13000000258,1,603,7,2024-06-26 09:14:20
13000000259,1,321,4,2024-01-30 11:44:33
13000000260,2,1210,9,2025-05-31 18:10:31
13000000261,2,407,7,2025-02-09 15:21:46
13000000262,2,996,9,2025-01-02 20:37:23
13000000263,2,1192,8,2024-11-03 14:07:34
13000000264,1,221,1,2024-08-12 17:24:03
13000000265,1,1189,6,2025-07-24 23:55:00
13000000266,1,1230,9,2024-07-23 10:11:38
13000000267,1,244,6,2024-12-08 19:33:05
13000000268,1,416,6,2024-10-29 22:00:32
13000000269,2,289,7,2024-10-21 10:02:42
13000000270,1,233,0,2024-09-07 23:46:39
13000000271,1,300,7,2025-03-19 18:26:54
13000000272,1,1066,5,2024-10-04 18:45:15
13000000273,2,854,10,2024-02-07 11:26:10
13000000274,1,1339,7,2024-01-27 18:27:33
13000000275,1,484,10,2024-12-27 00:49:20
13000000276,1,948,6,2024-01-12 16:25:54
13000000277,1,713,6,2024-11-22 09:01:45
13000000278,1,1466,9,2025-04-22 01:42:26
13000000279,1,426,7,2025-06-16 01:31:53
13000000280,1,1313,0,2025-03-04 15:40:25
13000000281,1,995,4,2024-07-16 22:57:22
13000000282,1,499,8,2025-03-12 17:12:20
13000000283,2,1408,7,2025-03-07 13:54:08
13000000284,1,498,8,2025-03-11 19:06:17
13000000285,1,840,6,2024-11-24 19:10:47
13000000286,1,92,9,2025-02-10 07:29:10
13000000287,2,1449,9,2025-10-06 14:11:47
13000000288,2,1129,7,2025-09-29 22:07:10
13000000289,2,972,8,2024-11-27 19:02:18
13000000290,2,260,8,2025-09-17 21:39:47
13000000291,2,683,4,2024-01-23 05:42:51
13000000292,1,1042,2,2025-04-27 06:06:59
13000000293,1,1422,6,2024-03-07 13:04:16
13000000294,2,1347,9,2024-03-09 16:19:23
13000000295,2,705,8,2025-02-18 21:20:29
13000000296,2,1306,10,2025-06-20 06:52:08
13000000297,2,327,0,2024-12-06 01:33:41
13000000298,1,1119,5,2024-03-13 12:57:11
13000000299,1,2,10,2025-07-20 15:58:08
13000000300,1,988,8,2024-02-25 12:08:47
13000000301,1,1485,8,2025-07-08 11:01:03
13000000302,1,791,8,2025-07-17 06:47:48
13000000303,1,204,9,2025-04-29 12:01:36
13000000304,2,22,8,2024-05-04 00:45:45
13000000305,2,510,1,2025-01-05 20:34:12
13000000306,2,614,9,2024-04-06 13:36:01
13000000307,2,27,9,2024-12-22 14:50:59
13000000308,2,1319,6,2025-07-21 03:34:38
13000000309,1,845,9,2024-11-17 01:33:45
13000000310,2,783,5,2025-07-14 12:14:03
13000000311,1,1350,9,2025-08-26 18:08:04
13000000312,1,773,7,2025-08-17 04:54:53
13000000313,1,1457,4,2024-10-27 01:01:22
13000000314,1,1488,9,2024-10-13 16:39:39
13000000315,1,1286,10,2024-09-04 12:14:01
13000000316,1,1306,9,2025-08-30 13:56:58
13000000317,2,397,8,2024-02-09 21:16:04
13000000318,1,341,4,2024-03-30 09:14:25
13000000319,2,1475,9,2025-05-23 00:58:37
13000000320,1,963,5,2024-02-12 10:05:49
13000000321,1,423,9,2024-06-14 01:31:03
13000000322,2,1176,9,2024-04-18 20:56:37
13000000323,2,1128,8,2024-04-10 04:28:29
13000000324,1,56,8,2025-09-14 05:14:26
13000000325,2,389,5,2024-04-24 06:04:28
13000000326,2,598,9,2025-03-27 23:38:23
13000000327,2,2,7,2024-06-02 12:00:35
13000000328,2,118,8,2025-03-04 06:11:26
13000000329,1,835,10,2025-06-18 02:07:23
13000000330,1,554,7,2024-11-02 13:43:36
13000000331,1,371,10,2025-09-30 17:10:37
13000000332,1,965,9,2025-06-09 17:39:53
13000000333,2,687,6,2025-02-15 19:51:47
13000000334,1,516,9,2024-12-18 18:28:50
13000000335,2,1295,8,2025-05-06 05:04:25
13000000336,1,660,4,2024-09-04 23:59:05
13000000337,2,838,8,2025-10-05 16:30:15
13000000338,2,447,8,2024-10-11 21:10:53
13000000339,2,1187,4,2024-03-14 13:07:31
13000000340,1,1457,7,2025-07-01 22:15:09
13000000341,1,16,7,2024-11-04 09:51:44
13000000342,1,1421,0,2024-06-20 14:29:54
13000000343,1,861,9,2024-08-13 11:17:08
13000000344,1,515,2,2024-10-08 06:24:47
13000000345,1,280,10,2024-05-18 01:52:36
13000000346,1,829,7,2024-09-08 07:35:57
13000000347,1,1319,10,2025-07-21 07:27:52
13000000348,1,682,10,2025-07-03 19:30:51
13000000349,1,649,7,2025-09-18 21:46:37
13000000350,1,1041,8,2024-08-03 22:57:18
13000000351,2,559,9,2024-10-20 10:29:55
13000000352,2,1187,9,2025-07-14 19:31:33
13000000353,1,786,6,2025-04-09 11:40:03
13000000354,1,1104,6,2025-02-23 05:35:01
13000000355,2,505,4,2025-07-30 02:43:33
13000000356,1,436,0,2024-11-13 15:27:07
13000000357,1,366,5,2025-08-17 16:44:56
13000000358,2,829,8,2024-05-17 10:00:31
13000000359,1,570,5,2024-04-11 06:42:29
13000000360,2,573,10,2024-04-13 13:46:37
13000000361,1,63,8,2024-04-13 23:51:40
13000000362,1,140,10,2025-05-03 03:08:57
13000000363,2,650,9,2024-03-07 12:17:06
13000000364,1,558,7,2024-05-29 09:44:37
13000000365,2,498,9,2024-05-18 00:10:14
13000000366,2,1337,10,2024-05-27 15:06:16
13000000367,1,192,9,2025-04-06 06:02:54
13000000368,1,523,1,2024-10-07 15:22:24
13000000369,1,1009,5,2025-05-06 14:30:44
13000000370,1,1079,8,2025-03-10 21:56:33
13000000371,1,809,9,2025-05-30 16:31:12
13000000372,1,332,8,2024-02-05 15:14:36
13000000373,1,397,8,2024-11-10 09:06:51
13000000374,2,950,8,2024-02-12 19:29:29
13000000375,1,950,10,2024-12-27 07:39:39
13000000376,1,1071,7,2024-03-10 15:27:59
13000000377,1,27,5,2024-08-10 15:00:09
13000000378,1,1063,5,2024-05-25 14:47:01
13000000379,1,930,10,2024-08-09 06:45:53
13000000380,2,1435,1,2024-11-14 03:09:21
13000000381,2,258,10,2024-04-08 15:25:23
13000000382,1,847,4,2024-02-11 14:11:42
13000000383,2,921,10,2024-09-01 08:42:48
13000000384,1,1231,7,2025-01-11 08:34:53
13000000385,1,292,10,2025-05-26 13:14:53
13000000386,2,325,3,2024-10-19 19:15:44
13000000387,2,921,3,2025-03-11 05:25:38
13000000388,1,248,2,2025-05-24 10:15:38
13000000389,1,754,8,2024-08-11 22:25:54
13000000390,1,708,9,2024-04-22 05:36:10
13000000391,1,48,6,2025-05-05 20:20:04
13000000392,2,786,5,2024-05-05 11:43:38
13000000393,1,382,4,2024-06-19 08:24:55
13000000394,1,895,6,2025-02-14 13:53:26
13000000395,1,821,7,2025-02-11 12:31:51
13000000396,1,1032,9,2024-03-15 03:58:38
13000000397,1,1262,1,2025-05-10 13:40:09
13000000398,1,153,9,2024-08-21 05:06:57
13000000399,1,816,1,2025-08-04 08:56:25
13000000400,1,237,7,2024-02-07 18:17:19
13000000401,2,589,10,2024-03-31 16:15:16
13000000402,2,249,6,2025-08-14 00:50:22
13000000403,2,1130,2,2024-12-14 23:38:05
13000000404,1,455,3,2025-06-23 15:32:22
13000000405,1,1306,0,2025-03-23 14:06:40
13000000406,1,1359,9,2024-11-27 17:42:26
13000000407,1,696,7,2024-09-18 23:36:33
13000000408,1,867,7,2024-09-06 13:25:59
13000000409,1,690,10,2024-11-01 22:51:39
13000000410,1,14,7,2025-03-16 23:22:31
13000000411,2,259,2,2024-12-12 15:04:04
13000000412,1,334,3,2024-01-23 14:46:59
13000000413,1,574,9,2024-07-21 02:53:44
13000000414,1,716,10,2024-05-30 12:30:57
13000000415,2,204,8,2024-12-16 05:28:42
13000000416,2,624,10,2025-06-20 21:21:38
13000000417,1,535,9,2024-08-19 21:17:35
13000000418,1,522,7,2024-08-10 05:31:51
13000000419,1,589,9,2025-04-15 10:21:44
13000000420,1,1485,9,2025-01-12 08:48:59
13000000421,1,544,9,2024-08-24 13:39:39
13000000422,1,253,9,2025-01-04 19:48:25
13000000423,1,520,8,2024-07-08 22:43:21
13000000424,1,1339,8,2025-02-16 22:04:20
13000000425,1,800,10,2024-05-10 02:04:28
13000000426,2,782,9,2024-07-03 17:44:38
13000000427,2,488,3,2025-08-31 00:49:08
13000000428,1,1074,6,2025-02-12 09:10:12
13000000429,2,789,9,2024-12-26 22:27:44
13000000430,1,951,3,2025-06-10 08:35:10
13000000431,1,1210,8,2025-04-06 21:49:25
13000000432,2,977,3,2025-04-24 13:15:22
13000000433,2,489,8,2025-08-25 15:59:07
13000000434,2,1192,9,2024-06-09 22:10:48
13000000435,2,1461,5,2024-10-11 10:47:13
13000000436,1,28,6,2025-07-14 13:59:10
13000000437,2,459,9,2024-07-14 02:59:21
13000000438,1,756,2,2024-05-10 19:36:43
13000000439,1,1495,8,2024-01-22 09:35:45
13000000440,1,584,7,2024-03-07 10:30:38
13000000441,1,703,2,2025-10-05 19:26:03
13000000442,2,1309,7,2024-01-21 05:12:12
13000000443,2,323,7,2025-06-01 03:50:23
13000000444,1,90,8,2025-08-24 15:48:52
13000000445,1,761,5,2025-01-13 09:23:46
13000000446,1,999,9,2025-04-26 12:54:41
13000000447,1,85,9,2025-04-05 23:58:27
13000000448,1,405,8,2025-07-25 21:12:23
13000000449,2,336,2,2024-11-24 03:49:06
13000000450,1,179,9,2024-07-07 20:27:21
13000000451,2,682,8,2024-05-06 04:42:04
13000000452,2,862,8,2025-06-03 23:08:04
13000000453,1,1218,5,2025-04-16 03:09:01
13000000454,1,31,7,2025-06-10 11:48:50
13000000455,1,154,10,2025-03-11 10:47:21
13000000456,2,1049,10,2025-07-26 17:33:15
13000000457,1,586,10,2025-06-07 01:08:36
13000000458,2,425,10,2024-09-07 22:23:30
13000000459,1,1235,8,2024-03-12 04:35:22
13000000460,1,52,10,2024-05-22 23:27:23
13000000461,2,78,3,2025-01-08 05:40:16
13000000462,1,405,7,2024-12-15 10:40:54
13000000463,2,381,7,2025-06-07 14:39:48
13000000464,1,284,10,2024-10-02 05:22:07
13000000465,1,867,0,2024-04-22 04:28:48
13000000466,1,626,8,2024-09-15 20:41:52
13000000467,1,195,9,2024-11-29 16:47:27
13000000468,1,467,7,2024-06-04 01:25:58
13000000469,2,1107,7,2025-03-02 09:53:39
13000000470,1,580,8,2024-01-25 14:37:53
13000000471,2,942,7,2024-04-02 06:17:25
13000000472,2,1354,10,2025-06-28 09:43:25
13000000473,1,540,4,2024-02-09 10:37:09
13000000474,1,1161,6,2025-07-23 03:05:56
13000000475,1,895,8,2025-08-09 07:58:07
13000000476,1,399,6,2024-07-16 18:47:00
13000000477,1,77,10,2025-08-08 21:13:19
13000000478,2,754,0,2025-08-27 01:30:25
13000000479,1,1253,7,2024-08-18 14:21:10
13000000480,1,1117,6,2024-07-17 06:17:50
13000000481,1,413,6,2025-07-22 06:06:19
13000000482,2,40,8,2025-06-08 22:38:52
13000000483,1,403,1,2024-10-09 02:40:49
13000000484,1,1482,6,2024-08-27 21:39:13
13000000485,1,790,9,2024-12-22 18:12:56
13000000486,1,891,0,2024-08-22 20:46:41
13000000487,2,819,7,2025-06-11 19:29:56
13000000488,2,474,9,2024-05-13 07:15:51
13000000489,1,1332,8,2025-04-08 10:13:44
13000000490,1,305,4,2025-07-30 07:48:11
13000000491,2,400,7,2024-04-10 21:45:17
13000000492,2,415,9,2024-11-29 22:26:11
13000000493,2,739,9,2024-01-17 07:11:19
13000000494,1,45,4,2024-12-16 04:58:04
13000000495,2,584,8,2024-04-01 04:19:09
13000000496,1,305,9,2025-03-14 13:14:31
13000000497,2,1061,4,2025-08-28 11:39:30
13000000498,2,1051,9,2025-04-20 13:57:39
13000000499,1,981,8,2025-08-18 06:29:10
13000000500,1,381,7,2024-01-27 08:24:37
13000000501,1,866,2,2024-05-18 01:36:24
13000000502,1,323,9,2024-06-04 20:35:58
13000000503,2,1223,8,2024-05-04 02:55:25
13000000504,2,728,3,2025-06-30 22:39:41
13000000505,1,176,8,2024-05-23 04:27:32
13000000506,1,620,3,2024-03-27 15:30:54
13000000507,2,11,8,2024-11-14 22:42:02
13000000508,1,866,5,2025-10-02 12:19:07
13000000509,1,609,9,2024-01-17 23:52:25
13000000510,1,662,6,2025-02-10 00:25:59
13000000511,2,1304,3,2025-03-21 01:23:04
13000000512,1,1358,5,2024-10-24 00:29:57
13000000513,2,1396,8,2024-10-03 20:01:12
13000000514,1,921,7,2024-12-01 09:29:25
13000000515,2,193,9,2024-03-25 10:26:03
13000000516,1,1366,7,2025-03-07 02:44:22
13000000517,2,4,8,2024-12-29 16:14:53
13000000518,1,373,4,2024-04-02 23:20:55
13000000519,2,3,10,2025-06-17 14:34:03
13000000520,2,156,2,2025-06-22 08:32:36
13000000521,2,1274,6,2025-09-26 11:27:19
13000000522,1,1200,9,2025-04-25 03:13:10
13000000523,2,1271,9,2024-03-05 02:24:02
13000000524,1,1089,10,2025-06-14 11:16:57
13000000525,2,1399,9,2025-09-09 13:13:42
13000000526,1,20,8,2024-07-08 22:49:45
13000000527,2,874,9,2024-12-12 16:26:08
13000000528,2,919,7,2024-10-18 11:04:43
13000000529,1,885,9,2025-08-03 00:42:21
13000000530,2,123,2,2024-08-18 13:05:16
13000000531,1,301,10,2024-08-13 12:11:00
13000000532,1,1172,5,2024-09-24 12:11:09
13000000533,2,1334,7,2024-08-23 08:58:05
13000000534,2,1462,3,2025-08-22 09:47:30
13000000535,2,1393,8,2024-12-09 04:39:01
13000000536,1,1220,10,2024-04-23 23:16:41
13000000537,1,1355,0,2025-04-11 23:27:42
13000000538,2,27,8,2024-01-14 12:52:57
13000000539,1,921,3,2024-07-01 06:27:01
13000000540,2,1469,9,2024-03-16 08:53:37
13000000541,1,1228,9,2025-06-29 03:08:05
13000000542,2,1123,7,2024-05-26 02:44:24
13000000543,1,125,8,2025-09-07 06:57:45
13000000544,1,476,9,2024-10-17 14:22:38
13000000545,1,833,5,2025-06-16 23:27:26
13000000546,1,253,10,2024-03-20 08:15:50
13000000547,1,398,9,2024-08-24 10:06:53
13000000548,2,253,9,2024-01-19 06:43:36
13000000549,2,206,9,2024-03-08 01:09:04
13000000550,1,899,8,2025-09-10 19:28:26
13000000551,1,1254,3,2025-07-07 01:49:09
13000000552,2,1317,10,2025-05-18 04:03:58
13000000553,1,466,8,2024-11-19 17:17:29
13000000554,1,191,9,2024-11-19 01:05:53
13000000555,2,362,10,2024-06-29 22:16:25
13000000556,1,263,7,2024-05-08 15:23:45
13000000557,2,1473,10,2025-03-09 08:07:13
13000000558,1,1494,10,2024-07-25 08:04:07
13000000559,1,359,3,2025-07-19 15:37:54
13000000560,1,181,10,2025-07-26 20:07:18
13000000561,1,682,10,2025-04-02 05:55:36
13000000562,1,1142,9,2024-05-30 18:17:36
13000000563,1,475,8,2024-05-18 21:48:39
13000000564,1,541,10,2024-12-24 14:04:24
13000000565,1,1344,10,2025-06-22 06:38:43
13000000566,2,561,10,2024-07-26 04:52:11
13000000567,2,981,8,2024-02-23 08:16:33
13000000568,1,311,7,2024-04-21 14:38:39
13000000569,2,1007,7,2025-05-15 05:37:47
13000000570,2,952,6,2025-09-16 19:04:39
13000000571,1,1464,8,2024-05-22 10:21:54
13000000572,2,863,9,2024-06-19 17:44:01
13000000573,2,724,6,2025-02-08 22:32:09
